Fiscal Year,Unique Identifier,Deal Number,Decision,Decision Date,Effective Date,Expiration Date,Brokered ,Deal Cancelled,Country,Program,Policy Type,Decision Authority,Primary Export Product NAICS/SIC code,Product Description,Term,Primary Applicant,Primary Lender,Primary Exporter,Primary Exporter City,Primary Exporter State Code,Primary Exporter State Name,Primary Borrower,Primary Source of Repayment (PSOR),Working Capital Delegated Authority,Approved/Declined Amount,Disbursed/Shipped Amount,Undisbursed Exposure Amount,Outstanding Exposure Amount,Small Business Authorized Amount,Woman Owned Authorized Amount,Minority Owned Authorized Amount,Loan Interest Rate,Multiyear Working Capital Extension 
2007,08073082XJ0001,AP073082XJ,Approved,4/16/2007,4/16/2007,1/31/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,3563,Air and Gas Compressors,Short Term,Peoples Bank,Peoples Bank,"Norwalk Compressor Company, Inc.",Norwalk,CT,Connecticut,"Norwalk Compressor Company, Inc.","Norwalk Compressor Company, Inc.",Yes,675000,675000,0,0,675000,0,0,N/A,
2007,08074512XF0003,AP074512XF,Approved,1/26/2007,1/26/2007,7/15/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,3533,Oil and Gas Field Machinery and Equipment,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Bank Na,Duhn Oil Tool Inc,Bakersfield,CA,California,Duhn Oil Tool Inc,Duhn Oil Tool Inc,Yes,1800000,1800000,0,0,1800000,0,0,N/A,
2007,08074512XG0001,AP074512XG,Approved,7/25/2007,7/25/2007,1/15/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,333132,Oil and Gas Field Machinery and Equipment Manufacturing,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Bank Na,Duhn Oil Tool Inc,Bakersfield,CA,California,Duhn Oil Tool Inc,Duhn Oil Tool Inc,Yes,7200000,7200000,0,0,7200000,0,0,N/A,
2007,08074960XH0001,AP074960XH,Approved,8/27/2007,8/27/2007,9/29/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5064,Electrical Appliances - Television and Radio Sets,Short Term,Gbc International Bank,Gbc International Bank,Lan Diamond Inc,Arcadia,CA,California,Lan Diamond Inc,Lan Diamond Inc,Yes,2520000,2520000,0,0,2520000,2520000,2520000,N/A,
2007,08075258XG0001,AP075258XG,Approved,12/1/2006,12/1/2006,11/17/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5172,Petroleum and Petroleum Products Wholesalers - Exce,Short Term,Frost National Bank,Frost National Bank,Elare Partners Ltd,San Antonio,TX,Texas,Elare Partners Ltd,Elare Partners Ltd,Yes,6300000,6300000,0,0,6300000,0,6300000,N/A,
2007,08075467XF0003,AP075467XF,Approved,10/12/2006,10/12/2006,1/1/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5039,Construction Materials - NEC,Short Term,Bankatlantic A Federal Sav Bnk,Bankatlantic A Federal Sav Bnk,Panexus Corp,Miami,FL,Florida,Panexus Corp,Panexus Corp,Yes,900000,900000,0,0,0,0,0,N/A,
2007,08075771XE0002,AP075771XE,Approved,9/10/2007,9/10/2007,8/29/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5147,Meats and Meat Products,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Bank Texas Na,Agri-West International Inc,San Antonio,TX,Texas,Agri-West International Inc,Agri-West International Inc,Yes,1350000,1350000,0,0,1350000,0,0,N/A,
2007,08076375XG0001,AP076375XG,Approved,8/24/2007,8/24/2007,6/23/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment ",Short Term,"Jp Morgan Chase Bank, Na","Jp Morgan Chase Bank, Na",Ohm International Corporation,Houston,TX,Texas,Ohm International Corporation,Ohm International Corporation,Yes,3150000,3150000,0,0,3150000,0,0,N/A,
2007,08076435XE0003,AP076435XE,Approved,9/18/2007,9/18/2007,6/29/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5159,Farm-Product Raw Materials - NEC,Short Term,JPMORGAN CHASE BANK NA,JPMORGAN CHASE BANK NA,Pelts & Skins Export Limited,Kenner,LA,Louisiana,Pelts & Skins Export Limited,Pelts & Skins Export Limited,Yes,6469616.24,6469616.24,0,0,6469616.24,0,0,N/A,
2007,08077059XG0001,AP077059XG,Approved,4/10/2007,4/10/2007,12/31/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5088,Transportation Equipment and Supplies - Except Moto,Short Term,Greater Bay Bancorp Inc,"Greater Bay Bank, N.A",Hansair Logistics Inc,Lake Forest,CA,California,Hansair Logistics Inc,Hansair Logistics Inc,Yes,4410000,4410000,0,0,4410000,0,0,N/A,
2007,08077066XE0001,AP077066XE,Approved,8/5/2007,8/5/2007,6/29/2009,No,No,United States,Working Capital,N/A,Individual Delegated Authority,425120,Wholesale Trade Agents and Brokers,Short Term,"Pnc Bank, National Association","Pnc Bank, National Association",Hpe Inc,Cincinnati,OH,Ohio,Hpe Inc,Hpe Inc,Yes,3600000,3600000,0,0,3600000,0,0,N/A,
2007,08077069XE0001,AP077069XE,Approved,9/7/2007,9/7/2007,7/8/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,424470,Meat and Meat Product Merchant Wholesalers,Short Term,Frost National Bank,Frost National Bank,"Almacenes De Tejas, Lp",San Antonio,TX,Texas,"Almacenes De Tejas, Lp","Almacenes De Tejas, Lp",Yes,3825000,3825000,0,0,3825000,0,0,N/A,
2007,08077312XE0001,AP077312XE,Approved,12/5/2006,12/5/2006,11/1/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Short Term,Home State Bank National Assn,Home State Bank National Assn,Paltronics Inc,Crystal Lake,IL,Illinois,Paltronics Inc,Paltronics Inc,Yes,3150000,3150000,0,0,3150000,0,0,N/A,
2007,08077545XC0003,AP077545XC,Approved,11/1/2006,N/A,9/28/2006,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5153,Grain and Field Beans,Short Term,Frost National Bank,Frost National Bank,"U.S. Grain & Feed Ingredients, Inc.",San Antonio,TX,Texas,"U.S. Grain & Feed Ingredients, Inc.","U.S. Grain & Feed Ingredients, Inc.",Yes,270000,270000,0,0,0,0,0,N/A,
2007,08077545XD0001,AP077545XD,Approved,1/29/2007,1/29/2007,10/22/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5153,Grain and Field Beans,Short Term,Frost National Bank,Frost National Bank,"U.S. Grain & Feed Ingredients, Inc.",San Antonio,TX,Texas,"U.S. Grain & Feed Ingredients, Inc.","U.S. Grain & Feed Ingredients, Inc.",Yes,270000,270000,0,0,270000,0,0,N/A,
2007,08077597XF0001,AP077597XF,Approved,8/1/2007,8/1/2007,6/1/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,423390,Other Construction Material Merchant Wholesalers,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Bank Nw Nat Assn,Vance International Inc,Happy Valley,OR,Oregon,Vance International Inc,Vance International Inc,Yes,450000,450000,0,0,450000,0,0,N/A,
2007,08077771XD0001,AP077771XD,Approved,4/5/2007,4/5/2007,11/10/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5162,Plastics Materials and Basic Forms and Shapes,Short Term,Gbc International Bank,Gbc International Bank,"Saco International, Inc.",New York,NY,New York,"Saco International, Inc.","Saco International, Inc.",Yes,891000,891000,0,0,891000,0,891000,N/A,
2007,08077788XE0001,AP077788XE,Approved,6/8/2007,6/8/2007,10/1/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,424590,Other Farm Product Raw Material Merchant Wholesalers,Short Term,Metropolitan National Bank,Metropolitan National Bank,"Blue Tulip Inc, The",Monsey,NY,New York,"Blue Tulip Inc, The","Blue Tulip Inc, The",Yes,396000,396000,0,0,396000,0,396000,N/A,
2007,08077859XB0004,AP077859XB,Approved,10/25/2006,10/25/2006,1/31/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,3699,Electrical Machinery - Equipment - and Supplies - NEC,Short Term,Bank Of America N.A.,Bank Of America N.A.,Trojan Battery Co.,Santa Fe Springs,CA,California,Trojan Battery Co.,Trojan Battery Co.,Yes,2700000,2700000,0,0,0,0,0,N/A,
2007,08077859XC0001,AP077859XC,Approved,3/29/2007,3/29/2007,11/15/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,3699,Electrical Machinery - Equipment - and Supplies - NEC,Short Term,Bank Of America N.A.,Bank Of America N.A.,Trojan Battery Co.,Santa Fe Springs,CA,California,Trojan Battery Co.,Trojan Battery Co.,Yes,4500000,4500000,0,0,4500000,4500000,0,N/A,
2007,08078093XB0001,AP078093XB,Approved,2/21/2007,2/21/2007,12/1/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,334210,Telephone Apparatus Manufacturing,Short Term,Comerica Bank,Comerica Bank,Airway Technologies Inc,Hebron,KY,Kentucky,Airway Technologies Inc,Airway Technologies Inc,Yes,3150000,3150000,0,0,3150000,0,0,N/A,
2007,08078188XD0002,AP078188XD,Approved,3/15/2007,3/15/2007,6/9/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5063,Electrical Apparatus and Equipment - Wiring Supplie,Short Term,Wells Fargo Bank N.A.,Wells Fargo Bank N.A.,Gaffney-Kroese Elec Sup Corp,Piscataway,NJ,New Jersey,Gaffney-Kroese Elec Sup Corp,Gaffney-Kroese Elec Sup Corp,Yes,900000,900000,0,0,0,0,0,N/A,
2007,08078188XD0003,AP078188XD,Approved,6/14/2007,6/14/2007,6/9/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5063,Electrical Apparatus and Equipment - Wiring Supplie,Short Term,Wells Fargo Bank N.A.,Wells Fargo Bank N.A.,Gaffney-Kroese Elec Sup Corp,Piscataway,NJ,New Jersey,Gaffney-Kroese Elec Sup Corp,Gaffney-Kroese Elec Sup Corp,Yes,9000000,9000000,0,0,0,0,0,N/A,
2007,08078194XE0001,AP078194XE,Approved,4/22/2007,4/22/2007,3/6/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Short Term,Manufacturers And Traders Trust Company,Manufacturers And Traders Trust Company,"Chindex International, Inc.",Bethesda,MD,Maryland,"Chindex International, Inc.","Chindex International, Inc.",Yes,450000,450000,0,0,0,0,0,N/A,
2007,08078246XE0001,AP083391XX,Approved,4/16/2007,4/16/2007,7/31/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5083,Farm and Garden Machinery and Equipment,Short Term,"Suntrust Banks, Inc.","Suntrust Banks, Inc.","Poultry And Industrial Suppliers, Inc.",Miami,FL,Florida,"Poultry And Industrial Suppliers, Inc.","Poultry And Industrial Suppliers, Inc.",Yes,1350000,0,0,0,0,0,0,N/A,
2007,08078359XE0001,AP078359XE,Approved,8/8/2007,8/8/2007,5/31/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Short Term,Eastern Bank,Eastern Bank,Medica Corporation,Bedford,MA,Massachusetts,Medica Corporation,Medica Corporation,Yes,2250000,2250000,0,0,2250000,0,0,N/A,
2007,08078549XD0001,AP078549XD,Approved,1/18/2007,1/18/2007,10/4/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesaler,Short Term,Gbc International Bank,Gbc International Bank,"Notebook Trade, Inc",Los Angeles,CA,California,"Notebook Trade, Inc","Notebook Trade, Inc",Yes,1755000,1755000,0,0,1755000,0,0,N/A,
2007,08078583XE0001,AP078583XE,Approved,8/24/2007,8/24/2007,10/20/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,8711,Engineering Services,Short Term,"Jp Morgan Chase Bank, Na","Jp Morgan Chase Bank, Na","Hfg Engineering Us, Inc.",Metairie,LA,Louisiana,"Hfg Engineering Us, Inc.","Hfg Engineering Us, Inc.",Yes,4950000,4950000,0,0,0,0,0,N/A,
2007,08078596XE0001,AP078596XE,Approved,9/5/2007,9/5/2007,5/4/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,423930,Recyclable Material Merchant Wholesalers,Short Term,Bank Of America N.A.,Bank Of America N.A.,Global Investment Recovery Inc.,Tampa,FL,Florida,Global Investment Recovery Inc.,Global Investment Recovery Inc.,Yes,450000,450000,0,0,0,0,0,N/A,
2007,08078604XC0002,AP078604XC,Approved,7/17/2007,7/17/2007,9/30/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,2869,Industrial Organic Chemicals - NEC,Short Term,Amegy Bank National Association,Amegy Bank National Association,Merichem Company,Houston,TX,Texas,Merichem Company,Merichem Company,Yes,4500000,4500000,0,0,4500000,0,0,N/A,
2007,08078612XC0003,AP078612XC,Approved,6/18/2007,6/18/2007,7/31/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5051,Metals Service Centers and Offices,Short Term,Bank Of America N.A.,Bank Of America N.A.,Corpac Steel Products Corp,Miami,FL,Florida,Corpac Steel Products Corp,Corpac Steel Products Corp,Yes,4500000,4500000,0,0,4500000,0,4500000,N/A,
2007,08078658XE0001,AP078658XE,Approved,9/17/2007,9/17/2007,8/31/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copp",Short Term,"Capital One, N.A.",Capital One Commercial Banking,"Alpha Omega Recycling, Inc.",Longview,TX,Texas,"Alpha Omega Recycling, Inc.","Alpha Omega Recycling, Inc.",Yes,450000,450000,0,0,450000,0,0,N/A,
2007,08078791XX0005,AP078791XX,Approved,2/8/2007,2/15/2007,3/30/2007,No,No,Morocco,Guarantee,N/A,Board,3721A,Large Commercial Jet Aircraft,Long Term,Royal Air Maroc SA,Barclays Bank Plc,"Boeing Company, The",Renton,WA,Washington,SPC/Royal Air Maroc SA,SPC/Royal Air Maroc SA,,81509789,80637002.97,0,0,0,0,0,N/A,
2007,08078904XD0001,AP078904XD,Approved,2/13/2007,2/13/2007,11/14/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,334290,Other Communications Equipment Manufacturing,Short Term,Silicon Valley Bank,Silicon Valley Bank,Ace Comm Corporation,Gaithersburg,MD,Maryland,Ace Comm Corporation,Ace Comm Corporation,Yes,1575000,1575000,0,0,1575000,0,0,N/A,
2007,08079015XB0002,AP079015XB,Approved,4/25/2007,N/A,9/15/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,2899,Chemicals and Chemical Preparations - NEC,Short Term,Bank Of America N.A.,Bank Of America N.A.,Diaz Intermediates Corp,West Memphis,AR,Arkansas,Diaz Intermediates Corp,Diaz Intermediates Corp,Yes,1800000,1800000,0,0,1800000,0,0,N/A,
2007,08079023XB0001,AP079023XB,Approved,1/16/2007,1/16/2007,10/1/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,3845,Electromedical and Electrotherapeutic Apparatus,Short Term,Silicon Valley Bank,Silicon Valley Bank,Applied Precision Llc,Issaquah,WA,Washington,Applied Precision Llc,Applied Precision Llc,Yes,9000000,9000000,0,0,9000000,0,0,N/A,
2007,08079023XB0002,AP079023XB,Approved,5/8/2007,5/8/2007,2/1/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,3845,Electromedical and Electrotherapeutic Apparatus,Short Term,Silicon Valley Bank,Silicon Valley Bank,Applied Precision Llc,Issaquah,WA,Washington,Applied Precision Llc,Applied Precision Llc,Yes,9000000,9000000,0,0,9000000,0,0,N/A,
2007,08079028XC0002,AP079028XC,Approved,2/1/2007,2/1/2007,5/15/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,7538,General Automotive Repair Shops,Short Term,"Jp Morgan Chase Bank, Na","Jp Morgan Chase Bank, Na","Reliable Industries, Inc, Of N",Harahan,LA,Louisiana,"Reliable Industries, Inc, Of N","Reliable Industries, Inc, Of N",Yes,1530000,1530000,0,0,0,0,0,N/A,
2007,08079028XC0003,AP079028XC,Approved,5/29/2007,5/29/2007,7/31/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,7538,General Automotive Repair Shops,Short Term,"Jp Morgan Chase Bank, Na","Jp Morgan Chase Bank, Na","Reliable Industries, Inc, Of N",Harahan,LA,Louisiana,"Reliable Industries, Inc, Of N","Reliable Industries, Inc, Of N",Yes,1530000,1530000,0,0,1530000,0,0,N/A,
2007,08079028XD0001,AP079028XD,Approved,9/6/2007,9/6/2007,11/15/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,7699,Repair Shops and Related Services - NEC,Short Term,Jpmorgan Chase Bank N.A.,Jpmorgan Chase Bank N.A.,"Reliable Industries, Inc, Of N",Harahan,LA,Louisiana,"Reliable Industries, Inc, Of N","Reliable Industries, Inc, Of N",Yes,1530000,1530000,0,0,1530000,0,0,N/A,
2007,08079171XB0002,AP079171XB,Approved,3/29/2007,3/29/2007,11/18/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,2819,Industrial Inorganic Chemicals - NEC,Short Term,Pnc Bank N.A.,Pnc Bank N.A.,"Intl Metals And Chemical Group, The",Jenkintown,PA,Pennsylvania,"Intl Metals And Chemical Group, The","Intl Metals And Chemical Group, The",Yes,13500000,13500000,0,0,13500000,0,0,N/A,
2007,08079188XA0002,AP079188XA,Approved,2/23/2007,2/23/2007,11/18/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,4213,Trucking - Except Local,Short Term,Pnc Bank N.A.,Pnc Bank N.A.,World Shipping Inc,Cleveland,OH,Ohio,World Shipping Inc,World Shipping Inc,Yes,900000,900000,0,0,0,0,0,N/A,
2007,08079207XX0002,AP079207XX,Approved,11/30/2006,12/21/2006,4/15/2008,No,No,Pakistan,Guarantee,N/A,Board,336411,Aircraft Manufacturing,Long Term,Pakistan International Airlines Corporation,Abn Amro Bank N.V.,"Boeing Company, The",Everett,WA,Washington,SPC/Pakistan International Airlines Corporation,Government of the Islamic Republic of Pakistan,,468279371,447323730.5,0,0,0,0,0,N/A,
2007,08079223XB0001,AP079223XB,Approved,5/21/2007,5/21/2007,4/5/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,2821,Plastics Materials - Synthetic Resins - and Nonvulca,Short Term,"Pnc Bank, National Association","Pnc Bank, National Association",Deltech Corp.,Baton Rouge,LA,Louisiana,Deltech Corp.,Deltech Corp.,Yes,3600000,3600000,0,0,3600000,0,0,N/A,
2007,08079251XA0002,AP079251XA,Approved,5/1/2007,5/1/2007,12/31/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,3851,Ophthalmic Goods,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Bank N A,Signet Armorlite Inc.,San Marcos,CA,California,Signet Armorlite Inc.,Signet Armorlite Inc.,Yes,1800000,1800000,0,0,0,0,0,N/A,
2007,08079317XC0002,AP079317XC,Approved,9/19/2007,9/19/2007,8/31/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5082,Construction and Mining Machinery and Equipment,Short Term,Amsouth Bank,Amsouth Bank,Nationwide Equipment Company,Jacksonville,FL,Florida,Nationwide Equipment Company,Nationwide Equipment Company,Yes,3150000,3150000,0,0,3150000,0,0,N/A,
2007,08079317XD0001,AP079317XD,Approved,9/21/2007,9/21/2007,9/13/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5082,Construction and Mining Machinery and Equipment,Short Term,Regions Bank,Regions Bank,Nationwide Equipment Company,Jacksonville,FL,Florida,Nationwide Equipment Company,Nationwide Equipment Company,Yes,4500000,4500000,0,0,4500000,0,0,N/A,
2007,08079530XB0001,AP079530XB,Approved,6/19/2007,6/19/2007,7/30/2010,No,No,United States,Working Capital,N/A,Individual Delegated Authority,2992,Lubricating Oils and Greases,Short Term,Pnc Bank N.A.,Pnc Financial Services Group Inc.,Lubricating Specialties Co.,Pico Rivera,CA,California,Lubricating Specialties Co.,Lubricating Specialties Co.,Yes,9000000,9000000,0,0,9000000,0,0,N/A,
2007,08079530XB0002,AP079530XB,Approved,9/5/2007,9/5/2007,7/30/2009,No,No,United States,Working Capital,N/A,Individual Delegated Authority,2992,Lubricating Oils and Greases,Short Term,Pnc Bank N.A.,Pnc Financial Services Group Inc.,Lubricating Specialties Co.,Pico Rivera,CA,California,Lubricating Specialties Co.,Lubricating Specialties Co.,Yes,9000000,0,0,0,9000000,0,0,N/A,
2007,08079639XC0002,AP079639XC,Approved,7/17/2007,7/17/2007,9/28/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,8711,Engineering Services,Short Term,Bank Of The West,Bank Of The West,Nexant Inc,San Francisco,CA,California,Nexant Inc,Nexant Inc,Yes,3150000,3150000,0,0,0,0,0,N/A,
2007,08079756XD0001,AP079756XD,Approved,8/10/2007,8/10/2007,6/12/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,333912,Air and Gas Compressor Manufacturing,Short Term,Amegy Bank National Association,Amegy Bank National Association,Neuman And Esser Usa Inc,Katy,TX,Texas,Neuman And Esser Usa Inc,Neuman And Esser Usa Inc,Yes,900000,900000,0,0,900000,0,0,N/A,
2007,08079758XX0003,AP079758XX,Approved,7/3/2007,10/1/2007,9/25/2009,No,No,Nigeria,Guarantee,N/A,Loan/Credit Committee,423830,Industrial Machinery and Equipment Merchant Wholesalers,Medium Term,Ups Capital Business Credit,Ups Capital Business Credit,Ventech Engineers Inc,Pasadena,TX,Texas,Amakpe International Refineries Nigeria,"Amanam, Usua",,23375,0,0,0,0,0,0,N/A,
2007,08079776XC0001,AP079776XC,Approved,2/27/2007,2/27/2007,9/20/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,541330,Engineering Services,Short Term,Citizens Bank Of Pennsylvania,Citizens Bank Of Pennsylvania,"Taggart Global, Llc",Canonsburg,PA,Pennsylvania,"Taggart Global, Llc","Taggart Global, Llc",Yes,6750000,6750000,0,0,0,0,0,N/A,
2007,08079810XC0001,AP079810XC,Approved,3/20/2007,3/20/2007,1/30/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,"Jp Morgan Chase Bank, Na","Jp Morgan Chase Bank, Na","Rsi Global, Inc",Harvey,LA,Louisiana,"Rsi Global, Inc","Rsi Global, Inc",Yes,900000,900000,0,0,900000,0,0,N/A,
2007,08079815XB0001,AP079815XB,Approved,4/23/2007,4/23/2007,1/1/2008,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5049,Professional Equipment and Supplies - NEC,Short Term,Bank Of America N.A.,Bank Of America N.A.,Durham Geo-Enterprises Inc,Stone Mountain,GA,Georgia,Durham Geo-Enterprises Inc,Durham Geo-Enterprises Inc,Yes,1350000,1350000,0,0,1350000,0,0,N/A,
2007,08079823XB0002,AP079823XB,Approved,11/27/2006,11/27/2006,1/28/2007,No,No,United States,Working Capital,N/A,Individual Delegated Authority,5046,Commercial Equipment - NEC,Short Term,Bank Of America N.A.,Bank Of America N.A.,"Greenfield Worldtrade, Inc.",Weston,FL,Florida,"Greenfield Worldtrade, Inc.","Greenfield Worldtrade, Inc.",Yes,1260000,1260000,0,0,0,0,0,N/A,
